ID,d,c,Valence
1,-0.46,0.015,Negative
2,0.28,0.06,Negative
4,0.81,0.25,Negative
5,1.55,-0.21,Negative
6,0.54,-0.36,Negative
8,0.26,0.25,Negative
9,0.17,0.12,Negative
12,0.44,0.22,Negative
14,0.089,0.27,Negative
15,-0.018,-0.11,Negative
16,0.25,0.05,Negative
17,0.1,0.2,Negative
19,0.1,0.12,Negative
20,0.089,0.27,Negative
21,0.17,0.16,Negative
23,0.97,0.16,Negative
24,0.64,-0.071,Negative
27,0.02,-0.19,Negative
28,-0.3,0.0014,Negative
29,0.17,0.13,Negative
30,0.37,-0.011,Negative
31,0.63,0.13,Negative
33,0.71,-0.14,Negative
34,0.35,-0.086,Negative
35,0.13,0.026,Negative
36,0.46,-0.08,Negative
37,0.94,0.21,Negative
38,0.32,0.24,Negative
39,0.036,0.19,Negative
40,0.51,0.25,Negative
43,-0.25,0.19,Negative
44,0.56,0.017,Negative
45,0.68,-0.078,Negative
46,-0.34,0.17,Negative
47,0.32,0.042,Negative
48,0.55,-0.091,Negative
50,0.21,0.14,Negative
51,0.72,0.021,Negative
52,0.7,-0.041,Negative
53,0.28,-0.023,Negative
55,0.038,0.22,Negative
56,0.46,0.079,Negative
57,0.58,0.091,Negative
59,0.42,0.064,Negative
60,0.56,-0.08,Negative
61,0.24,0.15,Negative
62,-0.26,0.069,Negative
63,-0.47,0.24,Negative
64,0.63,0.24,Negative
65,0.31,0.16,Negative
1,0.22,-0.05,Neutral
2,0.69,-0.097,Neutral
4,0.46,-0.23,Neutral
5,1.68,-0.008,Neutral
6,1.3,-0.056,Neutral
8,0.67,-0.088,Neutral
9,0.63,-0.38,Neutral
12,0.64,0.072,Neutral
14,-0.35,-0.074,Neutral
15,0.034,0.044,Neutral
16,0.28,-0.21,Neutral
17,-0.28,0.045,Neutral
19,0.64,-0.061,Neutral
20,-0.35,-0.074,Neutral
21,0.32,-0.099,Neutral
23,0.95,-0.056,Neutral
24,0.35,-0.21,Neutral
27,0.71,0.14,Neutral
28,0.24,-0.087,Neutral
29,0.63,0.029,Neutral
30,0.99,0.075,Neutral
31,0.16,-0.045,Neutral
33,1.19,-0.032,Neutral
34,-0.077,-0.21,Neutral
35,0.65,-0.15,Neutral
36,0.47,-0.067,Neutral
37,0.98,0.17,Neutral
38,0.23,0.12,Neutral
39,0.29,0.01,Neutral
40,0.64,-0.048,Neutral
43,0.15,-0.13,Neutral
44,0.18,0.12,Neutral
45,0.84,0.13,Neutral
46,0.35,0.2,Neutral
47,1.19,-0.048,Neutral
48,0.46,0.016,Neutral
50,0.7,0.16,Neutral
51,0.45,-0.052,Neutral
52,0.69,0.097,Neutral
53,1.26,0.026,Neutral
55,0.47,-0.032,Neutral
56,0.98,-0.047,Neutral
57,0.59,0.025,Neutral
59,0.52,-0.26,Neutral
60,0.74,0.052,Neutral
61,0.098,-0.14,Neutral
62,0.59,-0.29,Neutral
63,-0.03,-0.17,Neutral
64,-0.068,-0.034,Neutral
65,0.53,0.048,Neutral
